,flops,image_size,params,subnet_settings,top1,top5
25,664.607,"[1, 3, 32, 32]",9.983,"{'depth': [1, 2, 1, 3, 1], 'out_channel': [64, 88, 88, 96, 288, 288, 288, 640], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",91.13,100.0
26,548.737,"[1, 3, 32, 32]",12.59,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [64, 72, 144, 144, 192, 192, 192, 448, 448, 448], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.5,100.0
27,391.794,"[1, 3, 32, 32]",7.818,"{'depth': [1, 2, 2, 1, 3], 'out_channel': [32, 72, 72, 80, 80, 272, 352, 352, 352], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",83.91,99.98
28,497.637,"[1, 3, 32, 32]",15.322,"{'depth': [1, 2, 2, 2, 2], 'out_channel': [32, 32, 32, 96, 96, 320, 320, 608, 608], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",97.57,100.0
29,337.507,"[1, 3, 32, 32]",10.402,"{'depth': [1, 1, 2, 3, 2], 'out_channel': [56, 40, 64, 64, 208, 208, 208, 512, 512], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.07,99.97
30,485.308,"[1, 3, 32, 32]",16.834,"{'depth': [1, 1, 2, 1, 3], 'out_channel': [40, 48, 144, 144, 144, 576, 576, 576], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",90.9,99.98
31,513.242,"[1, 3, 32, 32]",6.194,"{'depth': [1, 2, 2, 2, 1], 'out_channel': [56, 80, 80, 96, 96, 272, 272, 480], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",98.14,100.0
32,458.814,"[1, 3, 32, 32]",13.486,"{'depth': [1, 2, 1, 1, 3], 'out_channel': [56, 56, 56, 144, 304, 480, 480, 480], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",60.7,99.95
33,459.985,"[1, 3, 32, 32]",9.839,"{'depth': [1, 2, 2, 3, 3], 'out_channel': [32, 72, 72, 64, 64, 208, 208, 208, 384, 384, 384], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.11,100.0
34,385.832,"[1, 3, 32, 32]",5.15,"{'depth': [1, 2, 2, 1, 1], 'out_channel': [48, 80, 80, 64, 64, 288, 512], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",50.5,99.88
35,370.797,"[1, 3, 32, 32]",4.203,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [56, 80, 144, 144, 144, 144, 288, 288], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",99.39,100.0
36,477.321,"[1, 3, 32, 32]",8.553,"{'depth': [1, 1, 2, 2, 1], 'out_channel': [32, 88, 112, 112, 304, 304, 608], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",95.81,100.0
37,328.191,"[1, 3, 32, 32]",7.282,"{'depth': [1, 2, 2, 2, 3], 'out_channel': [32, 48, 48, 112, 112, 144, 144, 352, 352, 352], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.52,100.0
38,293.802,"[1, 3, 32, 32]",4.098,"{'depth': [1, 1, 2, 2, 1], 'out_channel': [48, 40, 128, 128, 208, 208, 384], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",96.87,100.0
39,580.359,"[1, 3, 32, 32]",14.129,"{'depth': [1, 1, 2, 2, 3], 'out_channel': [32, 88, 112, 112, 320, 320, 448, 448, 448], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.35,100.0
40,305.461,"[1, 3, 32, 32]",5.572,"{'depth': [1, 2, 2, 2, 1], 'out_channel': [40, 56, 56, 80, 80, 192, 192, 576], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",98.07,100.0
41,392.377,"[1, 3, 32, 32]",13.843,"{'depth': [1, 1, 1, 1, 3], 'out_channel': [40, 72, 128, 208, 512, 512, 512], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",58.1,99.8
42,620.237,"[1, 3, 32, 32]",11.62,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [64, 96, 96, 112, 160, 160, 160, 448, 448, 448], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.59,100.0
43,294.695,"[1, 3, 32, 32]",5.206,"{'depth': [1, 2, 2, 1, 2], 'out_channel': [40, 64, 64, 80, 80, 144, 384, 384], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",90.03,99.97
44,317.453,"[1, 3, 32, 32]",7.424,"{'depth': [1, 2, 2, 2, 2], 'out_channel': [56, 56, 56, 64, 64, 176, 176, 448, 448], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",98.79,100.0
45,292.376,"[1, 3, 32, 32]",7.944,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [32, 40, 40, 96, 176, 176, 176, 352, 352, 352], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",96.57,100.0
46,146.156,"[1, 3, 32, 32]",4.21,"{'depth': [1, 1, 1, 1, 3], 'out_channel': [40, 32, 96, 208, 256, 256, 256], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",30.4,98.81
47,664.982,"[1, 3, 32, 32]",7.626,"{'depth': [1, 2, 2, 3, 1], 'out_channel': [32, 80, 80, 144, 144, 272, 272, 272, 448], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",99.38,100.0
48,332.14,"[1, 3, 32, 32]",2.275,"{'depth': [1, 2, 1, 1, 1], 'out_channel': [64, 80, 80, 112, 160, 320], 'kernel_size': [3, 3, 3, 3, 3, 3]}",68.17,99.97
49,300.266,"[1, 3, 32, 32]",10.117,"{'depth': [1, 2, 2, 1, 3], 'out_channel': [40, 40, 40, 64, 64, 288, 416, 416, 416], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",47.44,99.7
50,379.148,"[1, 3, 32, 32]",17.049,"{'depth': [1, 2, 1, 2, 3], 'out_channel': [32, 32, 32, 80, 176, 176, 576, 576, 576], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",93.91,99.97
51,665.025,"[1, 3, 32, 32]",16.578,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [56, 88, 128, 128, 304, 304, 640, 640], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",99.45,100.0
52,251.637,"[1, 3, 32, 32]",5.959,"{'depth': [1, 2, 1, 2, 3], 'out_channel': [56, 40, 40, 144, 128, 128, 320, 320, 320], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",97.27,99.99
53,196.564,"[1, 3, 32, 32]",3.481,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [64, 64, 96, 128, 128, 480], 'kernel_size': [5, 3, 3, 3, 3, 3]}",84.87,99.91
54,287.389,"[1, 3, 32, 32]",4.288,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [40, 88, 144, 144, 144, 512], 'kernel_size': [3, 3, 3, 3, 3, 3]}",92.64,99.99
55,592.106,"[1, 3, 32, 32]",10.256,"{'depth': [1, 2, 2, 3, 2], 'out_channel': [64, 48, 48, 144, 144, 272, 272, 272, 416, 416], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.58,100.0
56,611.39,"[1, 3, 32, 32]",11.418,"{'depth': [1, 2, 2, 2, 2], 'out_channel': [64, 88, 88, 64, 64, 288, 288, 512, 512], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",99.02,100.0
57,281.057,"[1, 3, 32, 32]",10.673,"{'depth': [1, 1, 1, 1, 2], 'out_channel': [32, 32, 160, 160, 576, 576], 'kernel_size': [3, 3, 3, 3, 3, 3]}",41.16,99.47
58,236.031,"[1, 3, 32, 32]",5.011,"{'depth': [1, 1, 1, 2, 3], 'out_channel': [48, 64, 128, 128, 128, 288, 288, 288], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",96.97,99.99
59,574.339,"[1, 3, 32, 32]",13.22,"{'depth': [1, 2, 1, 3, 2], 'out_channel': [56, 72, 72, 128, 224, 224, 224, 576, 576], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.17,100.0
60,381.72,"[1, 3, 32, 32]",14.799,"{'depth': [1, 1, 1, 2, 3], 'out_channel': [32, 32, 128, 224, 224, 512, 512, 512], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",94.06,99.98
61,351.164,"[1, 3, 32, 32]",5.454,"{'depth': [1, 1, 2, 3, 1], 'out_channel': [64, 96, 64, 64, 176, 176, 176, 544], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",93.55,100.0
62,519.599,"[1, 3, 32, 32]",12.707,"{'depth': [1, 2, 1, 3, 2], 'out_channel': [56, 40, 40, 64, 320, 320, 320, 480, 480], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",86.95,99.98
63,716.075,"[1, 3, 32, 32]",14.085,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [56, 72, 160, 160, 288, 288, 288, 416, 416, 416], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.4,100.0
64,516.969,"[1, 3, 32, 32]",14.686,"{'depth': [1, 2, 1, 2, 3], 'out_channel': [32, 56, 56, 128, 288, 288, 480, 480, 480], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.05,100.0
65,434.576,"[1, 3, 32, 32]",13.308,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [48, 56, 128, 128, 144, 144, 640, 640], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",99.38,100.0
66,557.561,"[1, 3, 32, 32]",17.598,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [56, 64, 64, 128, 160, 160, 160, 576, 576, 576], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.48,100.0
67,389.912,"[1, 3, 32, 32]",10.801,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [32, 80, 112, 112, 128, 128, 576, 576], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",99.24,100.0
68,750.655,"[1, 3, 32, 32]",13.923,"{'depth': [1, 2, 2, 3, 2], 'out_channel': [48, 96, 96, 128, 128, 192, 192, 192, 608, 608], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.89,100.0
69,474.698,"[1, 3, 32, 32]",10.768,"{'depth': [1, 2, 1, 2, 3], 'out_channel': [64, 80, 80, 96, 144, 144, 448, 448, 448], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",98.6,100.0
70,406.326,"[1, 3, 32, 32]",8.184,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [64, 48, 48, 128, 224, 224, 224, 320, 320, 320], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",98.6,100.0
71,552.438,"[1, 3, 32, 32]",5.293,"{'depth': [1, 2, 1, 2, 2], 'out_channel': [48, 96, 96, 112, 272, 272, 256, 256], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",99.22,100.0
72,407.26,"[1, 3, 32, 32]",4.947,"{'depth': [1, 2, 1, 2, 1], 'out_channel': [64, 56, 56, 144, 304, 304, 288], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",95.44,100.0
73,630.938,"[1, 3, 32, 32]",20.034,"{'depth': [1, 2, 1, 1, 3], 'out_channel': [64, 80, 80, 64, 320, 608, 608, 608], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",44.73,99.87
74,563.984,"[1, 3, 32, 32]",7.876,"{'depth': [1, 1, 2, 2, 1], 'out_channel': [40, 88, 160, 160, 288, 288, 544], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",96.91,100.0
75,445.428,"[1, 3, 32, 32]",10.315,"{'depth': [1, 1, 1, 2, 2], 'out_channel': [40, 80, 144, 272, 272, 480, 480], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",96.96,100.0
76,688.306,"[1, 3, 32, 32]",23.331,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [40, 72, 112, 112, 240, 240, 240, 640, 640, 640], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.53,100.0
77,294.048,"[1, 3, 32, 32]",6.526,"{'depth': [1, 1, 1, 1, 2], 'out_channel': [64, 64, 160, 192, 416, 416], 'kernel_size': [5, 3, 3, 3, 3, 3]}",48.28,99.71
78,643.118,"[1, 3, 32, 32]",16.525,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [40, 80, 80, 160, 176, 176, 176, 544, 544, 544], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.42,100.0
79,439.217,"[1, 3, 32, 32]",3.963,"{'depth': [1, 2, 1, 1, 2], 'out_channel': [56, 96, 96, 80, 224, 288, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",56.04,99.93
80,678.122,"[1, 3, 32, 32]",16.237,"{'depth': [1, 1, 2, 2, 3], 'out_channel': [48, 88, 160, 160, 256, 256, 512, 512, 512], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.54,100.0
81,691.352,"[1, 3, 32, 32]",10.475,"{'depth': [1, 2, 2, 2, 2], 'out_channel': [40, 88, 88, 128, 128, 304, 304, 448, 448], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",99.85,100.0
82,617.795,"[1, 3, 32, 32]",10.012,"{'depth': [1, 2, 2, 2, 3], 'out_channel': [32, 88, 88, 96, 96, 304, 304, 352, 352, 352], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.76,100.0
83,419.551,"[1, 3, 32, 32]",11.499,"{'depth': [1, 1, 1, 2, 2], 'out_channel': [32, 80, 128, 240, 240, 544, 544], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",97.73,100.0
84,371.571,"[1, 3, 32, 32]",6.574,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [56, 96, 128, 192, 192, 640], 'kernel_size': [5, 3, 3, 3, 3, 3]}",92.86,100.0
85,210.457,"[1, 3, 32, 32]",7.754,"{'depth': [1, 1, 1, 3, 2], 'out_channel': [32, 40, 64, 128, 128, 128, 480, 480], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",82.99,99.84
86,364.401,"[1, 3, 32, 32]",6.922,"{'depth': [1, 1, 1, 3, 1], 'out_channel': [32, 40, 96, 288, 288, 288, 416], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",69.58,99.96
87,424.258,"[1, 3, 32, 32]",7.697,"{'depth': [1, 1, 1, 2, 3], 'out_channel': [40, 96, 96, 304, 304, 288, 288, 288], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",94.51,100.0
88,529.651,"[1, 3, 32, 32]",7.745,"{'depth': [1, 2, 2, 2, 1], 'out_channel': [32, 72, 72, 112, 112, 304, 304, 544], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",98.62,100.0
89,363.598,"[1, 3, 32, 32]",11.191,"{'depth': [1, 1, 2, 1, 3], 'out_channel': [64, 48, 112, 112, 224, 448, 448, 448], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",80.29,99.94
90,635.104,"[1, 3, 32, 32]",9.556,"{'depth': [1, 2, 2, 3, 3], 'out_channel': [40, 48, 48, 144, 144, 320, 320, 320, 256, 256, 256], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.55,100.0
91,932.559,"[1, 3, 32, 32]",25.659,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [56, 88, 88, 64, 320, 320, 320, 640, 640, 640], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",98.22,100.0
92,208.276,"[1, 3, 32, 32]",5.494,"{'depth': [1, 1, 1, 1, 3], 'out_channel': [48, 56, 64, 272, 288, 288, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",27.58,99.22
93,757.389,"[1, 3, 32, 32]",18.501,"{'depth': [1, 2, 1, 2, 3], 'out_channel': [32, 96, 96, 80, 320, 320, 544, 544, 544], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",98.8,100.0
94,572.576,"[1, 3, 32, 32]",11.85,"{'depth': [1, 2, 1, 3, 2], 'out_channel': [32, 72, 72, 80, 288, 288, 288, 480, 480], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",97.63,100.0
95,257.398,"[1, 3, 32, 32]",5.374,"{'depth': [1, 2, 2, 1, 1], 'out_channel': [48, 32, 32, 96, 96, 304, 512], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",46.01,99.59
96,486.116,"[1, 3, 32, 32]",8.727,"{'depth': [1, 1, 2, 2, 3], 'out_channel': [48, 48, 160, 160, 272, 272, 320, 320, 320], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",98.93,100.0
97,292.017,"[1, 3, 32, 32]",10.629,"{'depth': [1, 1, 1, 1, 2], 'out_channel': [32, 64, 64, 288, 544, 544], 'kernel_size': [3, 3, 3, 3, 3, 3]}",28.67,99.43
98,359.764,"[1, 3, 32, 32]",9.57,"{'depth': [1, 1, 1, 3, 3], 'out_channel': [32, 64, 128, 192, 192, 192, 384, 384, 384], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",97.9,100.0
99,409.26,"[1, 3, 32, 32]",8.085,"{'depth': [1, 2, 1, 1, 3], 'out_channel': [64, 80, 80, 80, 176, 384, 384, 384], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",59.27,99.92
100,335.065,"[1, 3, 32, 32]",3.811,"{'depth': [1, 1, 2, 3, 1], 'out_channel': [56, 80, 112, 112, 160, 160, 160, 384], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",98.68,100.0
101,209.696,"[1, 3, 32, 32]",4.621,"{'depth': [1, 2, 2, 1, 1], 'out_channel': [40, 48, 48, 64, 64, 176, 576], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",57.38,99.87
102,510.586,"[1, 3, 32, 32]",5.917,"{'depth': [1, 2, 2, 1, 3], 'out_channel': [56, 80, 80, 144, 144, 208, 288, 288, 288], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.89,100.0
103,629.447,"[1, 3, 32, 32]",21.573,"{'depth': [1, 2, 2, 1, 3], 'out_channel': [32, 80, 80, 64, 64, 288, 640, 640, 640], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",81.2,99.97
104,421.517,"[1, 3, 32, 32]",11.42,"{'depth': [1, 1, 1, 3, 2], 'out_channel': [32, 96, 64, 208, 208, 208, 544, 544], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",91.59,99.99
105,372.955,"[1, 3, 32, 32]",12.221,"{'depth': [1, 1, 1, 1, 2], 'out_channel': [64, 56, 128, 304, 576, 576], 'kernel_size': [3, 3, 3, 3, 3, 3]}",46.01,99.78
106,145.043,"[1, 3, 32, 32]",2.526,"{'depth': [1, 1, 1, 1, 1], 'out_channel': [40, 32, 144, 176, 352], 'kernel_size': [3, 3, 3, 3, 3]}",36.73,99.25
107,174.902,"[1, 3, 32, 32]",3.611,"{'depth': [1, 1, 2, 3, 2], 'out_channel': [64, 40, 64, 64, 128, 128, 128, 288, 288], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",94.05,99.95
108,399.461,"[1, 3, 32, 32]",7.102,"{'depth': [1, 2, 2, 3, 3], 'out_channel': [32, 40, 40, 128, 128, 208, 208, 208, 288, 288, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",99.32,100.0
109,213.421,"[1, 3, 32, 32]",4.994,"{'depth': [1, 1, 2, 2, 3], 'out_channel': [48, 40, 96, 96, 128, 128, 288, 288, 288], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",97.74,99.98
110,315.879,"[1, 3, 32, 32]",6.284,"{'depth': [1, 2, 2, 2, 2], 'out_channel': [40, 48, 48, 96, 96, 192, 192, 384, 384], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",99.52,100.0
111,259.479,"[1, 3, 32, 32]",5.438,"{'depth': [1, 1, 1, 3, 1], 'out_channel': [48, 64, 96, 160, 160, 160, 576], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",90.28,99.99
112,466.598,"[1, 3, 32, 32]",10.902,"{'depth': [1, 2, 1, 1, 2], 'out_channel': [56, 72, 72, 160, 160, 576, 576], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",79.31,99.97
113,418.043,"[1, 3, 32, 32]",8.896,"{'depth': [1, 1, 2, 1, 2], 'out_channel': [64, 88, 112, 112, 256, 480, 480], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",82.07,99.98
114,467.4,"[1, 3, 32, 32]",15.068,"{'depth': [1, 1, 2, 1, 3], 'out_channel': [40, 32, 144, 144, 288, 512, 512, 512], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",73.19,99.92
115,209.835,"[1, 3, 32, 32]",4.851,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [64, 48, 64, 208, 208, 512], 'kernel_size': [3, 3, 3, 3, 3, 3]}",75.84,99.94
116,346.77,"[1, 3, 32, 32]",3.87,"{'depth': [1, 1, 2, 1, 2], 'out_channel': [64, 80, 128, 128, 240, 256, 256], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",88.72,99.99
